date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:33	1447/1447	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/robots.txt		(from )
00:49:33	11258/11258	---MCZ	200	added ('OK')	text/html	etag:%22b0de44eb0195a0dc44375fb057ab83fe-ssl-df%22	https://robovission.netlify.app/	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index.html	(from )
00:49:34	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2235525d09041b15cbc33a48516a0be897-ssl%22	https://robovission.netlify.app/img/core-img/favicon.ico	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/favicon.ico	(from https://robovission.netlify.app/)
00:49:34	116457/116457	---M-Z	200	added ('OK')	text/css	etag:%22554bcb81998065781e53071f57512553-ssl-df%22	https://robovission.netlify.app/css/style.css	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/style.css	(from https://robovission.netlify.app/)
00:49:35	4205/4205	---M-Z	200	added ('OK')	text/css	etag:%22414637ae3f12c345a6c80d23a8b48db0-ssl-df%22	https://robovission.netlify.app/css/responsive.css	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/responsive.css	(from https://robovission.netlify.app/)
00:49:35	11258/11258	---MCZ	200	added ('OK')	text/html	etag:%22b0de44eb0195a0dc44375fb057ab83fe-ssl-df%22	https://robovission.netlify.app/index.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-2.html	(from https://robovission.netlify.app/)
00:49:35	3024/3024	---M--	200	added ('OK')	image/png	etag:%223883605f84bb2ebb73bbd23198a159d5-ssl%22	https://robovission.netlify.app/img/core-img/logo.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/logo.png	(from https://robovission.netlify.app/)
00:49:35	30425/30425	---M-Z	200	added ('OK')	text/html	etag:%2266f39ce5a46b86fb3fcf27905043b0ff-ssl-df%22	https://robovission.netlify.app/index-demo-1.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-demo-1.html	(from https://robovission.netlify.app/)
00:49:36	37057/37057	---M-Z	200	added ('OK')	text/html	etag:%2271599e0e85e839c0874145e3c44ef156-ssl-df%22	https://robovission.netlify.app/index-demo-2.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-demo-2.html	(from https://robovission.netlify.app/)
00:49:36	52558/52558	---M--	200	added ('OK')	image/png	etag:%2234e55080a3da200ae7e8baa4ca61ac74-ssl%22	https://robovission.netlify.app/img/demos/demo-1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/demos/demo-1.png	(from https://robovission.netlify.app/)
